AIP4Win v2.4.8 Magnitude Measurement Tool
Instrumental Magnitudes Report
Format: One line per star. Images in columns.
Date: JD = Geocentric Julian Day.
Airmass: Computed for entire image.
Decimal places normal: Three for magnitude, five for date.
Delimiting Character: ;
Aperture = 5.00 Inner/Outer Annulus = 7.00/10.000
Observer name = MGW at LON=149.06444 LAT=-31.27333
Target name = M67 at RA=132.833 DEC=11.7833
Results computed on the basis of user input.
Now = 3/30/2014 10:44:00 AM

Image #;         00001;;         00002;;         00003;;         00004;;         00005;;
Julian_Day; 2456746.90655;; 2456746.90817;; 2456746.90902;; 2456746.90969;; 2456746.91027;;
Integr;         120.0;;          60.0;;          30.0;;          30.0;;          30.0;;
Filt;             U;;             B;;             V;;             R;;             I;;
Airmass;        1.3902;;        1.3875;;        1.3862;;        1.3851;;        1.3843;;
C1 Sky;        219.02;;        355.89;;        198.43;;        284.38;;        327.35;;
ADUmax;      21364.00;;      40683.00;;      30158.00;;      54328.00;;      61765.00;;
M67;  14.743; 0.014;  12.652; 0.006;  11.955; 0.006;  11.335; 0.004;  11.493; 0.005;
  1;  10.965; 0.001;   9.368; 0.001;   9.293; 0.001;   9.059; 0.001;   9.548; 0.002;
  2;  14.046; 0.009;  11.049; 0.002;   9.569; 0.002;   8.602; 0.001;   8.535; 0.001;
  3;  13.776; 0.007;  11.044; 0.002;   9.735; 0.002;   8.862; 0.001;   8.855; 0.001;
  4;  12.458; 0.003;  10.517; 0.002;   9.764; 0.002;   9.128; 0.001;   9.286; 0.001;
  5;  13.803; 0.007;  11.062; 0.002;   9.756; 0.002;   8.893; 0.001;   8.889; 0.001;
  6;  13.772; 0.007;  11.119; 0.002;   9.801; 0.002;   8.912; 0.001;   8.894; 0.001;
  7;  14.299; 0.010;  11.327; 0.003;  10.018; 0.002;   9.133; 0.001;   9.106; 0.001;
  8;  12.760; 0.004;  10.801; 0.002;  10.201; 0.002;   9.635; 0.002;   9.862; 0.002;
  9;  12.400; 0.003;  10.560; 0.002;  10.164; 0.002;   9.736; 0.002;  10.071; 0.002;
 10;  12.242; 0.003;  10.436; 0.002;  10.186; 0.002;   9.874; 0.002;  10.288; 0.002;
 11;  12.669; 0.004;  10.705; 0.002;  10.324; 0.002;   9.935; 0.002;  10.282; 0.002;
 12;  14.391; 0.011;  11.694; 0.003;  10.405; 0.002;   9.531; 0.002;   9.520; 0.002;
 13;  12.821; 0.004;  10.812; 0.002;  10.537; 0.003;  10.213; 0.002;  10.620; 0.003;
 14;  14.288; 0.010;  11.761; 0.003;  10.485; 0.002;   9.635; 0.002;   9.621; 0.002;
 15;  13.249; 0.005;  11.327; 0.003;  10.535; 0.003;   9.878; 0.002;  10.028; 0.002;
 16;  12.977; 0.004;  11.038; 0.002;  10.581; 0.003;  10.149; 0.002;  10.445; 0.003;
 17;  14.686; 0.014;  11.992; 0.004;  10.722; 0.003;   9.852; 0.002;   9.850; 0.002;
 18;  14.147; 0.009;  11.808; 0.003;  10.735; 0.003;   9.944; 0.002;  10.011; 0.002;
 19;  14.701; 0.014;  11.975; 0.004;  10.730; 0.003;   9.893; 0.002;   9.888; 0.002;
 20;  13.266; 0.005;  11.389; 0.003;  10.817; 0.003;  10.269; 0.002;  10.495; 0.003;


