Name	Coords	Type	Mag
Z And	23 33 39.95 +48 49 05.9	ZAND	7.7 - 11.3 V
RX And	01 04 35.52 +41 17 57.8	UGZ	10.3 - 14.8 V
AR And	01 45 03.25 +37 56 32.9	UGSS	11.0 - 17.6 V
DX And	23 29 46.68 +43 45 04.1	UGSS	11.0 - 15.5 V
EG And	00 44 37.19 +40 40 45.7	ZAND+E	6.97 - 7.8 V
FN And	01 11 57.55 +35 17 24.3	UGSS	12.9 - 19.3 V
FO And	01 15 32.09 +37 37 34.2	UGSU	13.1 - 17.5 V
LS And	00 32 10.22 +41 58 11.6	UGWZ:	11.7 - 20.2 B
PQ And	02 29 29.55 +40 02 40.0	UGWZ+ZZ/GWLIB	10.0 - 19.2 V
VY Aqr	21 12 09.20 -08 49 37.0	UGSU	10.0 - 17.52 V
VZ Aqr	21 30 24.59 -02 59 17.1	UGSS	12.0 - 18.4 V
UU Aql	19 57 18.77 -09 19 21.2	UGSS	11.0 - 17.0 V
DH Aql	19 26 10.82 -10 15 28.9	UGSU	12.5 - <17.0 p
FO Aql	19 16 38.12 +00 07 37.4	UGSS	13.6 - 17.5 p
KX Aql	19 33 53.66 +14 17 47.8	UGSU	12.5 - 17.5: p
V0603 Aql	18 48 54.64 +00 35 02.9	NA	-1.4 - 12.4 V
V0725 Aql	19 56 45.03 +10 49 32.7	UGSU	13.7 - 16.2 p
V1413 Aql	19 03 46.85 +16 26 17.1	ZAND+E	10.6 - 15.1 V
AT Ara	17 30 33.82 -46 05 58.7	UGSS	11.5 - 15.32 V
BF Ara	17 38 21.33 -47 10 41.5	UGSU	13.6 - <16.0 p
FV Ara	17 35 10.03 -63 02 50.1	UG	12.0 V - <18.0 p
SV Ari	03 25 03.34 +19 49 52.9	UGWZ	14.0: - 22.1 V
TT Ari	02 06 53.09 +15 17 41.8	NL/VY	10.2 - 16.5 V
SS Aur	06 13 22.43 +47 44 25.3	UGSS	10.3 - 16.8 V
KR Aur	06 15 43.91 +28 35 09.1	NL/VY	11.3 - 17.8 V
TT Boo	14 57 44.80 +40 43 40.8	UGSU	12.7 - <15.6 p
UZ Boo	14 44 01.21 +22 00 54.8	UGWZ	11.5 - 20.2 V
Z Cam	08 25 13.20 +73 06 39.2	UGZ	10 - 14.5 V
AF Cam	03 32 15.48 +58 47 22.1	UG	13.4 - 17.6 p
SY Cnc	09 01 03.31 +17 53 56.0	UGZ	11.0 - 14.0 V
YZ Cnc	08 10 56.65 +28 08 33.2	UGSU	10.5 - 16.3 V
AK Cnc	08 55 21.23 +11 18 15.2	UGSU	13.0 - <17.0 p
AT Cnc	08 28 36.93 +25 20 03.0	UGZ	12.7 - 15.2 V
CC Cnc	08 36 19.17 +21 21 05.5	UGSU	13.1 - 17.6 B
EG Cnc	08 43 04.03 +27 51 49.8	UGWZ	11.9 - 19.2 V
TX CVn	12 44 42.06 +36 45 50.7	ZAND+ELL	9.34 - 10.28 V
HL CMa	06 45 17.21 -16 51 34.6	UGZ	10.6 - 14.9 V
SV CMi	07 31 08.41 +05 58 48.4	UGSS	13.0 - 17.1 V
OY Car	10 06 22.10 -70 14 04.6	UGSU+E	11.2 - 16.2 V
AM Cas	02 26 23.38 +71 18 31.5	UGSS	12.3 - 15.3 V
GX Cas	00 49 01.49 +56 52 43.6	UGSU	13.3 - 18.5 V
HT Cas	01 10 12.96 +60 04 36.3	UGSU+E	12.6 - 19.32 V
KU Cas	01 31 02.40 +57 54 12.4	UGSS	13.3 - 18.0 p
V0630 Cas	23 48 51.95 +51 27 39.3	UG	12.3 - 17.1 p
BV Cen	13 31 19.51 -54 58 33.6	UGSS	10.7 - 13.6 V
MU Cen	12 12 53.87 -44 28 16.0	UGSS	11.8 - 15.0 V
NN Cen	13 14 15.61 -60 52 46.6	UGSS	13.2 - 17.5 p
V0436 Cen	11 14 00.06 -37 40 47.7	UGSU	10.8 - 16.5 V
V0442 Cen	11 24 51.96 -35 54 37.0	UGSS	11.89 - <16.5 V
V0485 Cen	12 57 23.22 -33 12 05.6	UGSU	12.9 p - 18.2 V
V0504 Cen	14 12 49.18 -40 21 37.5	NL/VY	12.0 - <18.0 p
V0803 Cen	13 23 44.54 -41 44 29.4	UGSU/IBWD	13.2 - 17.7 V
WW Cet	00 11 24.77 -11 28 43.1	UGZ	10.4 - 15.8 V
WX Cet	01 17 04.18 -17 56 22.6	UGSU	9.5 - 18.0 p
Z Cha	08 07 28.22 -76 32 01.4	UGSU+EA	11.5 - 16.23 V
AE Cir	14 44 51.33 -69 23 34.6	ZAND+ELL:	11.5 - 15.5 V
TV Col	05 29 25.53 -32 49 03.9	DQ+E	12.2 - 14.5 V
AL Com	12 32 25.90 +14 20 43.5	UGWZ	13.0 - 20.0 p
T CrB	15 59 30.16 +25 55 12.6	NR+ELL	2.0 - 10.8 V
TT Crt	11 34 47.26 -11 45 31.0	UG	12.5 - 15.3 V
SS Cyg	21 42 42.79 +43 35 09.9	UGSS	7.7 - 12.4 V
BF Cyg	19 23 53.51 +29 40 29.2	ZAND	9.1 - 13.5 V
CH Cyg	19 24 33.07 +50 14 29.1	ZAND+SR	5.6 - 10.1 V
EM Cyg	19 38 40.11 +30 30 28.4	UGZ+E	11.9 - 14.4 p
EY Cyg	19 54 36.71 +32 21 55.1	UGSS	11.4 - 15.5 V
V0404 Cyg	20 24 03.83 +33 52 02.2	LMXB/XN	11.2 - 18.8 V
V0476 Cyg	19 58 24.48 +53 37 06.7	NA	1.9 - 17.1 V
V0503 Cyg	20 27 17.41 +43 41 22.5	UGSU	13.4 - 17.6 V
